,ccode,date,raceref,course,raceclass,n_dist,going,horseno,drawing,jockey,wt_carried,netadj,blinker,trainer,rating,odd_fn,weights,runners,latest_sr,purse,ctry,color_e,sex,foaldate,rank
1,1,41525,33001,1,5,1200,1,3,8,1,131,-2,1,1,40,270,1156,14,86,550000,1,1,1,38970,10
2,2,41525,33001,1,5,1200,1,7,4,2,128,0,1,2,35,53,1042,14,101,550000,1,2,1,39361,6
3,3,41525,33001,1,5,1200,1,11,13,3,123,0,2,3,30,45,1030,14,100,550000,2,3,1,39722,3
4,4,41525,33001,1,5,1200,1,10,9,4,125,0,3,4,32,260,1126,14,103,550000,1,2,1,40067,1
5,5,41525,33001,1,5,1200,1,5,6,5,128,0,4,5,35,43,1044,14,102,550000,1,1,2,39026,5
6,6,41525,33001,1,5,1200,1,6,10,6,126,-2,5,6,35,310,1107,14,102,550000,1,4,1,40103,4
7,7,41525,33001,1,5,1200,1,8,7,7,120,-7,6,7,34,110,1041,14,88,550000,2,1,1,38598,7
8,8,41525,33001,1,5,1200,1,1,5,8,131,-2,7,8,40,210,1114,14,79,550000,1,2,1,39752,14
9,9,41525,33001,1,5,1200,1,2,12,9,133,0,3,9,40,250,1077,14,81,550000,1,1,1,39730,11
10,10,41525,33001,1,5,1200,1,4,1,10,131,-2,8,10,40,100,1063,14,0,550000,2,2,1,40065,9
11,11,41525,33001,1,5,1200,1,13,14,11,116,-2,9,11,25,410,1134,14,0,550000,2,2,1,39731,12
12,12,41525,33001,1,5,1200,1,9,11,12,127,0,3,12,34,140,1074,14,102,550000,1,2,1,38975,2
13,13,41525,33001,1,5,1200,1,14,3,13,112,-5,9,13,24,250,1096,14,80,550000,3,2,1,39929,13
14,14,41525,33001,1,5,1200,1,12,2,14,122,0,10,14,29,170,1144,14,103,550000,2,1,1,39717,8
15,15,41525,33002,1,4,1000,1,10,3,15,116,-2,7,3,45,420,1069,10,96,725000,1,5,1,39697,6
16,16,41525,33002,1,4,1000,1,1,2,7,126,-7,11,15,60,110,1164,10,111,725000,2,2,3,40071,1
17,17,41525,33002,1,4,1000,1,5,10,3,127,0,3,10,54,53,1014,10,107,725000,2,1,3,40095,2
18,18,41525,33002,1,4,1000,1,4,4,14,127,0,9,7,54,170,1102,10,83,725000,4,3,1,40257,10
19,19,41525,33002,1,4,1000,1,7,9,1,123,-2,12,9,52,16,1218,10,101,725000,2,2,1,40139,4
20,20,41525,33002,1,4,1000,1,8,7,11,121,-2,9,6,50,440,1110,10,87,725000,1,3,1,40064,8
21,21,41525,33002,1,4,1000,1,2,6,9,133,0,13,11,60,480,1057,10,93,725000,1,3,1,39724,7
22,22,41525,33002,1,4,1000,1,9,5,8,119,-2,14,1,48,800,1186,10,94,725000,3,1,1,40262,9
23,23,41525,33003,1,1,1200,1,3,5,5,127,0,7,14,110,52,1086,8,126,2000000,5,3,1,38640,1
24,24,41525,33003,1,1,1200,1,6,6,3,124,0,15,16,107,33,1158,8,121,2000000,3,2,1,39185,3
25,25,41525,33003,1,1,1200,1,5,3,11,122,-2,9,15,107,100,1081,8,123,2000000,2,2,1,39704,2
26,26,41525,33003,1,1,1200,1,8,8,1,111,-2,16,3,90,210,1183,8,112,2000000,2,4,1,39666,8
27,27,41525,33003,1,1,1200,1,7,4,6,115,-2,17,16,100,48,1252,8,115,2000000,2,2,1,38953,5
28,28,41525,33003,1,1,1200,1,1,2,16,133,0,3,17,116,55,1100,8,119,2000000,3,2,1,39533,6
29,29,41525,33003,1,1,1200,1,4,1,10,124,-2,9,8,109,150,1068,8,115,2000000,6,3,1,38830,7
30,30,41525,33003,1,1,1200,1,2,7,2,129,0,1,13,112,82,1120,8,120,2000000,2,2,1,39355,4
31,31,41525,33004,1,5,1400,1,13,7,6,114,-2,1,14,22,240,1046,14,98,550000,1,5,1,39726,7
32,32,41525,33004,1,5,1400,1,7,2,9,129,0,18,3,35,330,1101,14,96,550000,1,1,1,38665,8
33,33,41525,33004,1,5,1400,1,12,5,4,122,0,9,4,28,92,1003,14,95,550000,6,2,1,39541,4
34,34,41525,33004,1,5,1400,1,6,9,8,129,-2,6,1,37,210,1195,14,100,550000,1,2,1,39017,6
35,35,41525,33004,1,5,1400,1,1,10,7,126,-7,1,18,39,180,1112,14,94,550000,2,3,1,39750,11
36,36,41525,33004,1,5,1400,1,2,1,11,131,-2,9,11,39,130,1067,14,92,550000,6,2,1,39867,12
37,37,41525,33004,1,5,1400,1,10,4,3,125,0,19,6,31,35,1170,14,101,550000,2,2,1,39377,1
38,38,41525,33004,1,5,1400,1,9,8,17,125,0,20,19,31,840,1140,14,0,550000,6,2,1,39892,14
39,39,41525,33004,1,5,1400,1,5,13,13,127,-5,21,7,38,100,1118,14,81,550000,2,1,1,40092,13
40,40,41525,33004,1,5,1400,1,3,11,12,132,0,14,3,38,220,1099,14,98,550000,3,3,1,39169,5
41,41,41525,33004,1,5,1400,1,11,14,1,123,-2,1,12,31,51,1160,14,102,550000,1,3,1,39770,3
42,42,41525,33004,1,5,1400,1,4,12,16,132,0,1,8,38,280,1037,14,106,550000,2,3,1,39725,2
43,43,41525,33004,1,5,1400,1,8,3,5,129,0,9,20,35,61,1067,14,99,550000,1,2,1,39666,10
44,44,41525,33004,1,5,1400,1,14,6,15,114,-2,22,12,22,420,1151,14,96,550000,2,1,1,39717,9
45,45,41525,33005,1,4,1400,1,7,3,12,126,0,3,9,53,210,1033,13,104,725000,3,2,1,39477,7
46,46,41525,33005,1,4,1400,1,9,9,11,121,-2,9,10,50,54,1050,13,104,725000,1,3,3,39769,8
47,47,41525,33005,1,4,1400,1,10,7,13,118,-5,3,21,50,130,1143,13,98,725000,1,1,1,39384,11
48,48,41525,33005,1,4,1400,1,5,10,2,129,0,9,13,56,100,1146,13,107,725000,2,2,4,39725,2
49,49,41525,33005,1,4,1400,1,12,1,3,120,0,23,6,47,280,1052,13,105,725000,2,2,3,40093,10
50,50,41525,33005,1,4,1400,1,3,2,8,129,-2,3,1,58,85,1173,13,108,725000,1,2,1,39363,4
51,51,41525,33005,1,4,1400,1,8,6,10,123,-2,9,15,52,33,1060,13,108,725000,2,2,1,40029,1
52,52,41525,33005,1,4,1400,1,2,12,16,132,0,7,17,59,100,1039,13,99,725000,6,1,1,39527,12
53,53,41525,33005,1,4,1400,1,6,8,5,127,0,7,6,54,250,1170,13,105,725000,2,2,1,39760,5
54,54,41525,33005,1,4,1400,1,11,11,6,119,-2,24,14,48,170,1049,13,101,725000,1,1,1,38266,6
55,55,41525,33005,1,4,1400,1,13,4,7,108,-7,7,9,42,540,1251,13,102,725000,2,3,3,39687,3
56,56,41525,33005,1,4,1400,1,4,13,17,130,0,25,19,57,230,1084,13,98,725000,2,2,3,40098,13
57,57,41525,33005,1,4,1400,1,1,5,4,133,0,14,3,60,94,1038,13,106,725000,1,2,1,39328,9
58,58,41525,33006,1,4,1200,1,9,10,5,123,0,18,13,50,48,1129,14,109,725000,1,1,4,39749,2
59,59,41525,33006,1,4,1200,1,13,4,15,112,-2,1,20,41,800,1118,14,85,725000,1,2,1,40118,12
60,60,41525,33006,1,4,1200,1,5,9,8,125,-2,3,1,54,340,1070,14,109,725000,1,2,1,39359,8
61,61,41525,33006,1,4,1200,1,4,13,11,126,-2,9,6,55,210,1105,14,105,725000,6,2,1,40296,10
62,62,41525,33006,1,4,1200,1,12,12,6,115,-2,26,11,44,150,1065,14,104,725000,1,2,1,38274,7
63,63,41525,33006,1,4,1200,1,6,8,17,127,0,14,3,54,200,1081,14,109,725000,1,4,1,39360,3
64,64,41525,33006,1,4,1200,1,7,6,4,126,0,1,7,53,510,1169,14,107,725000,2,2,1,40109,5
65,65,41525,33006,1,4,1200,1,2,5,2,130,0,27,14,57,68,1006,14,108,725000,4,2,1,39941,9
66,66,41525,33006,1,4,1200,1,3,7,16,129,0,28,19,56,48,1135,14,105,725000,2,2,1,40134,4
67,67,41525,33006,1,4,1200,1,1,3,7,126,-7,9,9,60,61,1216,14,110,725000,3,2,5,39867,1
68,68,41525,33006,1,4,1200,1,14,1,12,114,0,29,18,41,400,1106,14,105,725000,2,4,1,39344,11
69,69,41525,33006,1,4,1200,1,11,11,10,115,-2,30,8,44,200,1107,14,70,725000,2,4,1,39701,13
70,70,41525,33006,1,4,1200,1,10,2,3,122,0,1,10,49,52,1094,14,109,725000,2,2,1,40060,6
71,71,41525,33007,1,2,1000,1,9,8,15,117,-2,31,5,82,100,1134,11,100,1400000,2,2,1,38964,11
72,72,41525,33007,1,2,1000,1,11,7,6,113,-2,9,14,78,160,1022,11,101,1400000,7,2,5,39891,7
73,73,41525,33007,1,2,1000,1,2,3,16,128,0,1,17,91,100,1052,11,118,1400000,3,2,1,39197,2
74,74,41525,33007,1,2,1000,1,1,1,5,133,0,9,6,96,65,1183,11,0,1400000,2,2,3,39741,6
75,75,41525,33007,1,2,1000,1,6,11,4,122,0,1,4,85,240,1118,11,97,1400000,5,2,1,40073,10
76,76,41525,33007,1,2,1000,1,5,2,1,122,-2,32,3,87,470,1123,11,114,1400000,2,2,1,39378,4
77,77,41525,33007,1,2,1000,1,7,10,14,122,0,33,7,85,140,1066,11,100,1400000,6,2,4,39563,9
78,78,41525,33007,1,2,1000,1,8,4,11,118,-2,34,20,83,560,1089,11,113,1400000,4,3,1,39551,5
79,79,41525,33007,1,2,1000,1,3,9,10,123,-2,15,15,88,18,1106,11,117,1400000,2,3,1,39714,1
80,80,41525,33007,1,2,1000,1,10,5,8,116,-2,3,10,81,120,1087,11,111,1400000,2,2,1,39731,3
81,81,41525,33007,1,2,1000,1,4,6,17,124,0,7,16,87,350,1123,11,0,1400000,6,2,1,39151,8
82,82,41525,33008,1,3,1200,1,1,8,7,126,-7,30,9,77,130,1188,12,112,1000000,2,2,1,38960,4
83,83,41525,33008,1,3,1200,1,10,3,6,116,-2,3,19,62,92,1132,12,110,1000000,2,2,1,39698,3
84,84,41525,33008,1,3,1200,1,7,7,15,122,-2,35,20,68,570,1148,12,112,1000000,1,3,1,39008,8
85,85,41525,33008,1,3,1200,1,6,9,17,125,0,9,6,69,420,1162,12,106,1000000,2,1,1,39752,11
86,86,41525,33008,1,3,1200,1,4,10,10,127,-2,9,8,73,98,1076,12,110,1000000,1,2,1,40083,7
87,87,41525,33008,1,3,1200,1,2,6,9,130,0,1,13,74,990,1061,12,106,1000000,6,2,1,40218,10
88,88,41525,33008,1,3,1200,1,11,4,1,115,-2,3,9,61,990,1156,12,102,1000000,3,1,1,39912,9
89,89,41525,33008,1,3,1200,1,8,1,2,123,0,1,17,67,280,1162,12,114,1000000,2,2,1,38992,2
90,90,41525,33008,1,3,1200,1,5,12,3,125,0,36,10,69,49,1112,12,112,1000000,2,3,3,40133,5
91,91,41525,33008,1,3,1200,1,12,5,4,117,0,9,7,61,990,1100,12,98,1000000,1,2,1,39327,12
92,92,41525,33008,1,3,1200,1,3,11,11,128,-2,1,22,74,49,1174,12,117,1000000,2,4,1,39759,1
93,93,41525,33008,1,3,1200,1,9,2,5,121,0,1,18,65,23,1218,12,107,1000000,1,1,1,40127,6
94,94,41525,33009,1,3,1400,1,6,9,16,123,0,37,19,68,53,1074,13,112,1000000,3,2,1,40253,4
95,95,41525,33009,1,3,1400,1,11,4,15,116,-2,3,9,63,270,1048,13,110,1000000,6,2,1,39547,7
96,96,41525,33009,1,3,1400,1,4,2,7,118,-7,7,9,70,48,1064,13,112,1000000,2,3,1,39020,8
97,97,41525,33009,1,3,1400,1,12,11,4,116,0,26,8,61,990,1001,13,102,1000000,3,2,4,39844,11
98,98,41525,33009,1,3,1400,1,5,3,5,124,0,18,20,69,280,1157,13,111,1000000,1,1,1,39742,3
99,99,41525,33009,1,3,1400,1,2,6,10,130,-2,9,8,77,51,1138,13,106,1000000,1,2,3,40081,12
100,100,41525,33009,1,3,1400,1,7,5,12,123,0,3,23,68,200,1097,13,113,1000000,2,2,1,38640,6
101,101,41525,33009,1,3,1400,1,8,7,17,121,0,9,7,66,170,1047,13,107,1000000,3,2,1,39499,5
102,102,41525,33009,1,3,1400,1,10,12,8,116,-2,37,22,63,460,1168,13,108,1000000,1,2,1,38992,9
103,103,41525,33009,1,3,1400,1,9,1,11,118,-2,38,18,65,55,1127,13,111,1000000,3,2,1,39564,10
104,104,41525,33009,1,3,1400,1,3,8,1,124,-2,9,6,71,120,1165,13,114,1000000,2,2,1,39709,2
105,105,41525,33009,1,3,1400,1,1,10,2,133,0,39,13,78,80,1182,13,116,1000000,2,3,1,39742,1
106,106,41525,33009,1,3,1400,1,13,13,6,113,-2,40,14,60,320,1141,13,99,1000000,3,5,1,39882,13
107,107,41525,33010,1,2,1400,1,2,3,17,133,0,41,16,96,140,1068,13,112,1400000,6,4,1,39109,12
108,108,41525,33010,1,2,1400,1,9,11,14,122,0,1,14,85,990,1069,13,110,1400000,1,2,1,39341,7
109,109,41525,33010,1,2,1400,1,11,13,8,118,-2,9,13,83,140,1169,13,112,1400000,1,2,1,39771,9
110,110,41525,33010,1,2,1400,1,13,5,7,111,-7,9,8,81,67,1224,13,111,1400000,2,1,1,40057,10
111,111,41525,33010,1,2,1400,1,5,10,2,129,0,1,9,92,71,1065,13,116,1400000,1,3,4,39389,4
112,112,41525,33010,1,2,1400,1,12,2,11,117,-2,9,10,82,250,1048,13,111,1400000,7,2,3,39874,8
113,113,41525,33010,1,2,1400,1,10,4,16,121,0,3,19,84,100,1163,13,117,1400000,6,2,3,39947,2
114,114,41525,33010,1,2,1400,1,1,1,5,133,0,1,20,96,38,1149,13,120,1400000,2,2,1,38608,1
115,115,41525,33010,1,2,1400,1,3,8,1,129,-2,9,6,94,270,1158,13,111,1400000,1,2,1,39705,11
116,116,41525,33010,1,2,1400,1,7,12,9,126,0,1,1,89,680,1066,13,113,1400000,3,2,6,38412,3
